Puzzle,Solution,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
000003020000000000009500001000006000100070090572010600005304000690100205003000006,861793524457621389329548761948236157136475892572819643215364978694187235783952416,24,43,14,0,0,0,0,0,0,Easy,
036000009400000008105000002000004000040930085008050000029000000500006140600005090,836521479472369518195748362357684921241937685968152734729413856583296147614875293,25,39,17,0,0,0,0,0,0,Easy,
001007580000900030005000000050410000040350028800070000500100700400000109009000000,961237584784965231325841976256418397147359628893672415538196742472583169619724853,24,61,20,4,0,2,0,2,2,Expert,
800000900006005400030027500503072060000900040080000000008000090070600000249000080,815364972726195438934827516593472861162938745487516329658243197371689254249751683,25,42,14,0,0,0,0,0,0,Easy,
650000000001907000000000000000005700000300000030840050106000805005001000740603190,653412978481937526972568314869125743514376289237849651126794835395281467748653192,24,45,20,0,0,0,0,2,2,Expert,
000001700000890020000520001010000800800200954000000070007000000140070200300054090,562431789431897526789526341913745862876213954254968173697382415145679238328154697,25,38,18,0,0,0,0,0,0,Easy,
000000100100000500000206000940002700800090005020074089500400070090000020461000000,289735164176948532354216897943852716817693245625174389532489671798561423461327958,25,50,6,0,0,0,0,0,0,Easy,
500000930407003000210000070000006000000500100000907053060204509000009600004000002,586472931497183265213695478825316794379548126641927853768234519132859647954761382,25,65,24,4,1,1,0,4,6,Expert,
580003900902001000000009025030050800000300010000086000001000400300000006850040002,586423971972561384413879625237154869648392517195786243761235498324918756859647132,25,45,11,0,0,0,0,0,0,Easy,
001900050004600001030050200800000900400500000000000100006090080008400003590308000,281974356954632871637851249813746925429513768765289134346197582178425693592368417,24,47,10,0,0,0,0,0,0,Easy,
002000060100000900560000000006000070090750000807093001008070300000019602010200500,782945163134867925569132748356421879291758436847693251928576314475319682613284597,26,43,11,3,0,0,0,1,0,Expert,
090000000100000007000003050000000810840500069300900405001060080030040500080059003,495176238163285947728493651579634812842517369316928475951362784237841596684759123,26,44,9,0,1,2,0,2,0,Expert,
000000100010235007407000003000008074020670000050002000000300000000010030005067000,532746189819235647467981523693158274124673895758492361981324756276519438345867912,23,37,21,0,0,0,0,0,0,Easy,
908020600300000070176000009600890240700200830001000007000000000000000310200008904,948721653352964178176583429635897241794215836821436597563149782489672315217358964,27,53,1,0,0,0,0,0,0,Easy,
